wins,losses,draws,height_cm,weight_kg,reach_in_cm,sig_strikes_landed_min,sig_strike_acc,sig_strikes_absorbed_min,sig_strike_def,avg_takedowns_landed_15_min,takedown_acc,takedown_def,avg_sub_attempt_15_min
9,2,0,165.1,56.7,172.72,5.4,41,6.63,49,0.0,0,56,5.4
6,3,0,162.56,52.16,167.64,5.4,44,7.22,58,0.0,0,83,5.4
8,2,0,182.88,70.31,195.58,5.4,50,1.8,59,1.0,100,71,5.4
6,4,0,177.8,83.91,182.88,5.4,51,3.94,43,0.0,0,100,5.4
18,10,0,193.04,108.86,208.28,5.39,55,2.54,55,0.61,66,54,5.39
9,4,1,177.8,77.11,182.88,5.39,69,3.51,51,2.82,50,66,5.39
16,7,0,190.5,92.99,187.96,5.39,55,3.25,53,0.0,0,54,5.39
11,2,0,190.5,92.99,190.5,5.39,62,4.9,45,0.82,25,100,5.39
20,6,0,175.26,70.31,172.72,5.39,57,3.4,57,1.95,40,62,5.39
11,2,0,180.34,65.77,187.96,5.38,46,5.48,51,0.87,18,45,5.38
17,5,0,170.18,61.23,170.18,5.38,51,5.03,61,1.8,37,90,5.38
12,5,0,170.18,61.23,177.8,5.38,36,4.21,47,0.52,50,62,5.38
8,3,0,180.34,70.31,182.88,5.37,45,5.2,56,7.32,75,0,5.37
9,7,2,170.18,56.7,182.88,5.37,36,5.41,56,0.0,0,50,5.37
31,9,0,160.02,61.23,170.18,5.36,40,4.27,56,0.56,58,67,5.36
11,2,0,172.72,61.23,182.88,5.36,46,3.36,61,2.87,46,70,5.36
8,3,0,190.5,110.22,200.66,5.36,58,4.82,46,0.0,0,62,5.36
30,10,0,177.8,83.91,190.5,5.36,50,6.3,54,0.0,0,92,5.36
14,1,0,187.96,92.99,193.04,5.35,48,3.46,51,0.0,0,50,5.35
7,3,0,182.88,77.11,182.88,5.34,39,7.23,30,0.0,0,0,5.34
21,6,0,182.88,77.11,187.96,5.34,48,4.01,63,0.27,100,75,5.34
18,9,1,177.8,70.31,177.8,5.33,39,3.54,61,1.82,33,79,5.33
17,4,0,180.34,61.23,177.8,5.33,44,3.4,58,1.36,33,64,5.33
7,2,0,180.34,77.11,185.42,5.32,38,12.15,42,0.0,0,0,5.32
22,6,0,175.26,70.31,187.96,5.32,49,4.66,54,0.67,55,66,5.32
13,2,0,175.26,61.23,175.26,5.32,51,4.2,53,2.72,50,56,5.32
29,4,1,190.5,92.99,203.2,5.31,55,5.17,40,0.61,50,68,5.31
18,1,0,170.18,70.31,167.64,5.31,53,2.01,63,4.16,72,66,5.31
25,10,0,170.18,61.23,175.26,5.31,50,5.56,50,1.64,46,58,5.31
15,7,1,187.96,70.31,187.96,5.31,47,6.41,40,0.0,0,0,5.31
9,3,0,167.64,61.23,177.8,5.29,44,3.52,57,0.0,0,75,5.29
14,2,0,180.34,65.77,180.34,5.29,47,5.29,45,0.0,0,40,5.29
11,1,0,187.96,92.99,190.5,5.29,35,8.46,53,0.0,0,0,5.29
23,11,0,185.42,92.99,190.5,5.29,58,4.31,53,0.44,57,61,5.29
8,9,0,190.5,111.58,182.88,5.29,27,17.65,41,0.0,0,0,5.29
8,2,0,175.26,65.77,177.8,5.28,61,3.06,58,0.0,0,72,5.28
9,1,0,172.72,61.23,170.18,5.28,46,3.24,55,1.0,36,44,5.28
4,2,0,187.96,70.31,195.58,5.27,49,6.93,44,0.0,0,0,5.27
14,1,0,185.42,70.31,195.58,5.26,39,4.79,53,0.28,33,94,5.26
11,3,0,172.72,61.23,175.26,5.25,64,3.34,61,4.77,40,100,5.25
