name,nickname,wins,losses,draws,height_cm,weight_kg,reach_in_cm,stance,date_of_birth,sig_strikes_landed_min,sig_strike_acc,sig_strikes_absorbed_min,sig_strike_def,avg_takedowns_landed_15_min,takedown_acc,takedown_def,avg_sub_attempt_15_min
Kevin Borjas,El Gallo Negro,9,2,0,165.1,56.7,172.72,Orthodox,06/12/1997,5.4,41,6.63,49,0,0,56,5.4
Syuri Kondo,,6,3,0,162.56,52.16,167.64,Orthodox,08/02/1989,5.4,44,7.22,58,0,0,83,5.4
Felipe Silva,,8,2,0,182.88,70.31,195.58,Orthodox,08/05/1984,5.4,50,1.8,59,1,100,71,5.4
Antonio Dos Santos,Junior Alpha,6,4,0,177.8,83.91,,Orthodox,21/07/1988,5.4,51,3.94,43,0,0,100,5.4
Lavar Johnson,Big,18,10,0,193.04,108.86,208.28,Orthodox,11/06/1977,5.39,55,2.54,55,0.61,66,54,5.39
Thiago Perpetuo,Bodao,9,4,1,177.8,77.11,,Orthodox,14/12/1987,5.39,69,3.51,51,2.82,50,66,5.39
Marcin Prachnio,,16,7,0,190.5,92.99,187.96,Orthodox,14/07/1988,5.39,55,3.25,53,0,0,54,5.39
Rodolfo Bellato,Trator,11,2,0,190.5,92.99,190.5,Orthodox,05/02/1996,5.39,62,4.9,45,0.82,25,100,5.39
Jared Gordon,Flash,20,6,0,175.26,70.31,172.72,Orthodox,06/09/1988,5.39,57,3.4,57,1.95,40,62,5.39
David Onama,,11,2,0,180.34,65.77,187.96,Orthodox,07/06/1994,5.38,46,5.48,51,0.87,18,45,5.38
Raoni Barcelos,,17,5,0,170.18,61.23,170.18,Orthodox,01/05/1987,5.38,51,5.03,61,1.8,37,90,5.38
Batgerel Danaa,Storm,12,5,0,170.18,61.23,177.8,Orthodox,04/07/1989,5.38,36,4.21,47,0.52,50,62,5.38
Cesar Arzamendia,Goku,8,3,0,180.34,70.31,,Orthodox,31/01/1991,5.37,45,5.2,56,7.32,75,0,5.37
Ji Yeon Kim,Firefist,9,7,2,170.18,56.7,182.88,Orthodox,18/10/1989,5.37,36,5.41,56,0,0,50,5.37
John Lineker,Hands of Stone,31,9,0,160.02,61.23,170.18,Orthodox,12/06/1990,5.36,40,4.27,56,0.56,58,67,5.36
Kyler Phillips,The Matrix,11,2,0,172.72,61.23,182.88,Orthodox,12/06/1995,5.36,46,3.36,61,2.87,46,70,5.36
Alan Baudot,The Black Samourai,8,3,0,190.5,110.22,200.66,Orthodox,01/02/1988,5.36,58,4.82,46,0,0,62,5.36
Chris Curtis,Action-Man,30,10,0,177.8,83.91,190.5,Orthodox,15/07/1987,5.36,50,6.3,54,0,0,92,5.36
Shamil Gamzatov,,14,1,0,187.96,92.99,193.04,Orthodox,09/08/1990,5.35,48,3.46,51,0,0,50,5.35
Sean Lally,The Unpredictable One,7,3,0,182.88,77.11,,Orthodox,04/11/1990,5.34,39,7.23,30,0,0,0,5.34
Lyman Good,Cyborg,21,6,0,182.88,77.11,187.96,Orthodox,26/05/1985,5.34,48,4.01,63,0.27,100,75,5.34
Evan Dunham,,18,9,1,177.8,70.31,177.8,Southpaw,18/12/1981,5.33,39,3.54,61,1.82,33,79,5.33
Cory Sandhagen,,17,4,0,180.34,61.23,177.8,Switch,20/04/1992,5.33,44,3.4,58,1.36,33,64,5.33
Raheam Forest,Rambo,7,2,0,180.34,77.11,185.42,Switch,11/07/1997,5.32,38,12.15,42,0,0,0,5.32
Conor McGregor,The Notorious,22,6,0,175.26,70.31,187.96,Southpaw,14/07/1988,5.32,49,4.66,54,0.67,55,66,5.32
Mario Bautista,,13,2,0,175.26,61.23,175.26,Switch,01/07/1993,5.32,51,4.2,53,2.72,50,56,5.32
Jiri Prochazka,,29,4,1,190.5,92.99,203.2,Orthodox,14/10/1992,5.31,55,5.17,40,0.61,50,68,5.31
Mateusz Rebecki,,18,1,0,170.18,70.31,167.64,Southpaw,03/11/1992,5.31,53,2.01,63,4.16,72,66,5.31
Aoriqileng,The Mongolian Murderer,25,10,0,170.18,61.23,175.26,Orthodox,25/06/1993,5.31,50,5.56,50,1.64,46,58,5.31
Cameron VanCamp,Jumpman,15,7,1,187.96,70.31,187.96,Switch,27/04/1993,5.31,47,6.41,40,0,0,0,5.31
Garrett Armfield,,9,3,0,167.64,61.23,177.8,Orthodox,09/10/1996,5.29,44,3.52,57,0,0,75,5.29
Lucas Almeida,,14,2,0,180.34,65.77,180.34,Orthodox,31/01/1991,5.29,47,5.29,45,0,0,40,5.29
